"date","France__Sentinelles__inc"
"1998-08-17",17151
"1998-08-24",16375
"1998-08-31",8842
"1998-09-08",11273
"1998-09-14",12503
"1998-09-21",10726
"1998-09-28",12456
"1998-10-05",12686
"1998-10-12",11124
"1998-10-19",12331
"1998-10-26",9959
"1998-11-02",9234
"1998-11-09",15226
"1998-11-16",10936
"1998-11-23",11740
"1998-11-30",10455
"1998-12-07",10846
"1998-12-14",8130
"1998-12-21",5364
"1998-12-28",5331
"1999-01-04",10232
"1999-01-11",9651
"1999-01-19",11924
"1999-01-25",8367
"1999-02-01",13913
"1999-02-08",8811
"1999-02-16",7368
"1999-02-22",12820
"1999-03-01",9011
"1999-03-08",14465
"1999-03-15",9416
"1999-03-22",11691
"1999-03-29",10918
"1999-04-05",10092
"1999-04-12",15529
"1999-04-19",14623
"1999-04-26",12338
"1999-05-03",11218
"1999-05-10",13480
"1999-05-17",17061
"1999-05-24",14651
"1999-06-01",16489
"1999-06-07",19094
"1999-06-14",17837
"1999-06-21",14472
"1999-06-28",16098
"1999-07-06",14468
"1999-07-12",8074
"1999-07-19",11942
"1999-07-26",18834
"1999-08-02",17624
"1999-08-09",16718
"1999-08-16",14523
"1999-08-23",11927
"1999-08-30",10775
"1999-09-07",13494
"1999-09-13",10394
"1999-09-20",13835
"1999-09-27",10604
"1999-10-04",18158
"1999-10-11",11029
"1999-10-18",14317
"1999-10-25",9865
"1999-11-01",8957
"1999-11-08",13000
"1999-11-15",4231
"1999-11-22",9178
"1999-11-29",9318
"1999-12-06",11656
"1999-12-13",10859
"1999-12-20",10471
"1999-12-27",5162
"2000-01-03",7400
"2000-01-10",7771
"2000-01-18",11178
"2000-01-24",4536
"2000-01-31",7346
"2000-02-07",10466
"2000-02-14",7865
"2000-02-22",7805
"2000-02-28",8611
"2000-03-06",8295
"2000-03-13",11253
"2000-03-20",14486
"2000-03-27",9906
"2000-04-03",12858
"2000-04-10",6949
"2000-04-17",8606
"2000-04-24",14134
"2000-05-01",13013
"2000-05-08",13329
"2000-05-15",19116
"2000-05-22",14649
"2000-05-30",13253
"2000-06-05",10348
"2000-06-12",9283
"2000-06-19",10320
"2000-06-26",13037
"2000-07-03",16058
"2000-07-10",17686
"2000-07-17",10858
"2000-07-24",5837
"2000-07-31",18956
"2000-08-07",13390
"2000-08-14",9760
"2000-08-21",12082
"2000-08-28",9310
"2000-09-05",20200
"2000-09-11",13498
"2000-09-18",26332
"2000-09-25",14676
"2000-10-02",12886
"2000-10-09",17515
"2000-10-16",11436
"2000-10-23",10264
"2000-10-30",9637
"2000-11-06",10941
"2000-11-13",11584
"2000-11-20",12286
"2000-11-27",11090
"2000-12-04",17401
"2000-12-11",11879
"2000-12-18",13602
"2000-12-26",9266
"2001-01-02",9982
"2001-01-08",9476
"2001-01-16",10078
"2001-01-22",14067
"2001-01-29",13447
"2001-02-05",11645
"2001-02-12",10183
"2001-02-20",9085
"2001-02-26",10062
"2001-03-05",12790
"2001-03-12",10609
"2001-03-19",8753
"2001-03-26",8064
"2001-04-02",7395
"2001-04-09",13775
"2001-04-16",10671
"2001-04-23",17595
"2001-04-30",12240
"2001-05-07",11155
"2001-05-14",12601
"2001-05-21",9068
"2001-05-29",12580
"2001-06-04",12266
"2001-06-11",13093
"2001-06-18",11045
"2001-06-25",10026
"2001-07-02",10770
"2001-07-09",8761
"2001-07-16",6558
"2001-07-23",5756
"2001-07-30",14007
"2001-08-06",24009
"2001-08-13",16673
"2001-08-20",19385
"2001-08-27",7786
"2001-09-04",9312
"2001-09-10",11114
"2001-09-24",6426
"2001-10-01",20308
"2001-10-08",6903
"2001-10-15",7099
"2001-10-22",14826
"2001-10-29",11434
"2001-11-05",2812
"2001-11-12",5829
"2001-11-19",6304
"2001-11-26",13842
"2001-12-03",12547
"2001-12-10",10076
"2001-12-17",6825
"2001-12-24",4324
"2001-12-31",5454
