"date","Paris__Sentinelles__inc"
"2010-09-07",415
"2010-09-13",63
"2010-09-20",0
"2010-09-27",0
"2010-10-04",511
"2010-10-11",581
"2010-10-18",1243
"2010-10-25",1367
"2010-11-01",954
"2010-11-08",1953
"2010-11-15",610
"2010-11-22",750
"2010-11-29",643
"2010-12-06",2465
"2010-12-13",1857
"2010-12-20",1486
"2010-12-27",1418
"2011-01-03",2423
"2011-01-10",631
"2011-01-18",358
"2011-01-24",452
"2011-01-31",3281
"2011-02-07",3806
"2011-02-14",270
"2011-02-22",510
"2011-02-28",3046
"2011-03-07",1152
"2011-03-14",1536
"2011-03-21",2265
"2011-03-28",1807
"2011-04-04",3092
"2011-04-11",3011
"2011-04-18",4788
"2011-04-25",1931
"2011-05-02",2163
"2011-05-09",2026
"2011-05-16",2582
"2011-05-23",4440
"2011-05-31",5386
"2011-06-06",5635
"2011-06-13",3998
"2011-06-20",3318
"2011-06-27",2227
"2011-07-05",1851
"2011-07-11",3921
"2011-07-18",0
"2011-07-25",283
"2011-08-01",1757
"2011-08-08",2810
"2011-08-15",408
"2011-08-22",0
"2011-08-29",0
"2011-09-06",163
"2011-09-12",0
"2011-09-19",0
"2011-09-26",0
"2011-10-03",296
"2011-10-10",0
"2011-10-17",698
"2011-10-24",732
"2011-10-31",1427
"2011-11-07",714
"2011-11-14",242
"2011-11-21",1181
"2011-11-28",1089
"2011-12-05",1275
"2011-12-12",531
"2011-12-19",1842
"2011-12-27",568
"2012-01-03",2598
"2012-01-09",2182
"2012-01-17",2386
"2012-01-23",847
"2012-01-30",1342
"2012-02-06",2346
"2012-02-13",3418
"2012-02-21",1766
"2012-02-27",1490
"2012-03-05",2033
"2012-03-12",921
"2012-03-19",706
"2012-03-26",1510
"2012-04-02",2537
"2012-04-09",1376
"2012-04-16",316
"2012-04-23",1163
"2012-04-30",7136
"2012-05-07",4228
"2012-05-14",3723
"2012-05-21",2225
"2012-05-29",2798
"2012-06-04",2871
"2012-06-11",3729
"2012-06-18",1593
"2012-06-25",3489
"2012-07-02",3995
"2012-07-09",2074
"2012-07-16",2814
"2012-07-23",2182
"2012-07-30",929
