index,S:all,I:all,beta:all,k:all,sto:all,d:all,rep:all,phi:all,log_like
192,0.969175,1.78452e-06,0.997162,70.4981,0.1,0.268574,1,0.1,-7466.574062
193,0.969176,1.78447e-06,0.997162,70.4981,0.1,0.268553,1,0.1,-7466.573985
194,0.969176,1.78447e-06,0.997162,70.4981,0.1,0.268553,1,0.1,-7466.573985
195,0.969185,1.77616e-06,0.99721,70.4929,0.1,0.268563,1,0.1,-7466.573970
196,0.969185,1.77616e-06,0.99721,70.4929,0.1,0.268563,1,0.1,-7466.573970
197,0.969175,1.78465e-06,0.997161,70.4982,0.1,0.268573,1,0.1,-7466.573914
198,0.969187,1.77496e-06,0.997217,70.4921,0.1,0.268534,1,0.1,-7466.573882
199,0.969182,1.77857e-06,0.997196,70.4944,0.1,0.268564,1,0.1,-7466.573875
200,0.969174,1.78554e-06,0.997156,70.4987,0.1,0.268567,1,0.1,-7466.573860
201,0.969174,1.78554e-06,0.997156,70.4987,0.1,0.268567,1,0.1,-7466.573860
202,0.969173,1.7872e-06,0.997147,70.4998,0.1,0.268558,1,0.1,-7466.573824
203,0.969182,1.77883e-06,0.997195,70.4945,0.1,0.268564,1,0.1,-7466.573787
204,0.969184,1.77738e-06,0.997203,70.4936,0.1,0.268542,1,0.1,-7466.573721
205,0.969184,1.77738e-06,0.997203,70.4936,0.1,0.268542,1,0.1,-7466.573721
206,0.969184,1.77738e-06,0.997203,70.4936,0.1,0.268542,1,0.1,-7466.573721
207,0.969185,1.77684e-06,0.997206,70.4933,0.1,0.268536,1,0.1,-7466.573689
208,0.969185,1.77684e-06,0.997206,70.4933,0.1,0.268536,1,0.1,-7466.573689
209,0.969185,1.77684e-06,0.997206,70.4933,0.1,0.268536,1,0.1,-7466.573689
210,0.969176,1.78418e-06,0.997165,70.4979,0.1,0.268546,1,0.1,-7466.573600
211,0.969176,1.78418e-06,0.997165,70.4979,0.1,0.268546,1,0.1,-7466.573600
212,0.969175,1.78504e-06,0.99716,70.4984,0.1,0.268556,1,0.1,-7466.573548
213,0.969187,1.77463e-06,0.997219,70.4919,0.1,0.268537,1,0.1,-7466.573492
214,0.969182,1.77925e-06,0.997193,70.4948,0.1,0.268523,1,0.1,-7466.573455
215,0.969175,1.78585e-06,0.997156,70.4989,0.1,0.268553,1,0.1,-7466.573175
216,0.969175,1.78585e-06,0.997156,70.4989,0.1,0.268553,1,0.1,-7466.573175
217,0.969183,1.77899e-06,0.997196,70.4946,0.1,0.268534,1,0.1,-7466.572776
218,0.969183,1.77899e-06,0.997196,70.4946,0.1,0.268534,1,0.1,-7466.572776
219,0.969183,1.77899e-06,0.997196,70.4946,0.1,0.268534,1,0.1,-7466.572776
220,0.969167,1.79278e-06,0.997117,70.5032,0.1,0.268561,1,0.1,-7466.572458
221,0.969183,1.77941e-06,0.997195,70.4948,0.1,0.268537,1,0.1,-7466.571721
222,0.969183,1.77941e-06,0.997195,70.4948,0.1,0.268537,1,0.1,-7466.571721
223,0.969183,1.77941e-06,0.997195,70.4948,0.1,0.268537,1,0.1,-7466.571721
224,0.969172,1.78948e-06,0.997139,70.5011,0.1,0.268576,1,0.1,-7466.570661
225,0.96917,1.79269e-06,0.997123,70.503,0.1,0.268569,1,0.1,-7466.569368
226,0.96917,1.79269e-06,0.997123,70.503,0.1,0.268569,1,0.1,-7466.569368
227,0.96917,1.79269e-06,0.997123,70.503,0.1,0.268569,1,0.1,-7466.569368
228,0.969161,1.80166e-06,0.997075,70.5086,0.1,0.268604,1,0.1,-7466.567992
229,0.969159,1.80601e-06,0.997054,70.5113,0.1,0.268646,1,0.1,-7466.566638
230,0.969172,1.7956e-06,0.997117,70.5046,0.1,0.26861,1,0.1,-7466.563547
231,0.969172,1.7956e-06,0.997117,70.5046,0.1,0.26861,1,0.1,-7466.563547
232,0.969172,1.7956e-06,0.997117,70.5046,0.1,0.26861,1,0.1,-7466.563547
233,0.969172,1.7956e-06,0.997117,70.5046,0.1,0.26861,1,0.1,-7466.563547
234,0.969172,1.7956e-06,0.997117,70.5046,0.1,0.26861,1,0.1,-7466.563547
235,0.969163,1.80901e-06,0.997053,70.5127,0.1,0.26866,1,0.1,-7466.558212
236,0.969163,1.80901e-06,0.997053,70.5127,0.1,0.26866,1,0.1,-7466.558212
237,0.969163,1.80901e-06,0.997053,70.5127,0.1,0.26866,1,0.1,-7466.558212
238,0.969188,1.7886e-06,0.997175,70.4997,0.1,0.268608,1,0.1,-7466.553616
239,0.969188,1.7886e-06,0.997175,70.4997,0.1,0.268608,1,0.1,-7466.553616
240,0.969167,1.81907e-06,0.997029,70.5182,0.1,0.268729,1,0.1,-7466.544243
241,0.969167,1.81907e-06,0.997029,70.5182,0.1,0.268729,1,0.1,-7466.544243
242,0.969167,1.81907e-06,0.997029,70.5182,0.1,0.268729,1,0.1,-7466.544243
243,0.96924,1.75714e-06,0.997387,70.4791,0.1,0.268567,1,0.1,-7466.536546
244,0.969219,1.78517e-06,0.997254,70.496,0.1,0.268682,1,0.1,-7466.527652
245,0.96924,1.77791e-06,0.997324,70.4907,0.1,0.268698,1,0.1,-7466.516664
246,0.969237,1.79326e-06,0.997269,70.4994,0.1,0.268718,1,0.1,-7466.498905
247,0.969237,1.79326e-06,0.997269,70.4994,0.1,0.268718,1,0.1,-7466.498905
248,0.969237,1.79326e-06,0.997269,70.4994,0.1,0.268718,1,0.1,-7466.498905
