index,S:all,I:all,r0:all,v:all,sto:all,rep:all,phi:all,log_like
165,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
166,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
167,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
168,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
169,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
170,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
171,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
172,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
173,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
174,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
175,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
176,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
177,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
178,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
179,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
180,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
181,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
182,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
183,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
184,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
185,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
186,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
187,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
188,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
189,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
190,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
191,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
192,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
193,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
194,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
195,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
196,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
197,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
198,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
199,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
200,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
201,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
202,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
203,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
204,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
205,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
206,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
207,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
208,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
209,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
210,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
211,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
212,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
213,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
214,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
215,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
216,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
217,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
218,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
219,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
220,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
221,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
222,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
223,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
224,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
225,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
226,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
227,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
228,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
229,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
230,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
231,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
232,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
233,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
234,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
235,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
236,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
237,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
238,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
239,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
240,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
241,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
242,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
243,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
244,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
245,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
246,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
247,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
248,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
249,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
250,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
251,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
252,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
253,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
254,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
255,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
256,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
257,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
258,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
259,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
260,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
261,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
262,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
263,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
264,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
265,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
266,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
267,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
268,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
269,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
270,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
271,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
272,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
273,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
274,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
275,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
276,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
277,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
278,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
279,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
280,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
281,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
282,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
283,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
284,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
285,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
286,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
287,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
288,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
289,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
290,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
291,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
292,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
293,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
294,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
295,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
296,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
297,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
298,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
299,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
300,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
301,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
302,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
303,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
304,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
305,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
306,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
307,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
308,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
309,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
310,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
311,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
312,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
313,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
314,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
315,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
316,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
317,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
318,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
319,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
320,0.933794,0.0669517,1.41761,41.1884,0.1,0.996738,0.1,-2818.364154
321,0.933298,0.0667023,1.40631,40.8602,0.1,0.996725,0.1,-2818.364154
