index,S:all,A:all,I:all,betaA:all,betaI:all,kA:all,kI:all,sto:all,rep:all,phi:all,log_like
80,0.664329,1.07386e-05,1.07024e-05,1.09527,0.0555983,4.85869,79.8848,0.1,1,0.1,-23676.240801
81,0.669217,1.04415e-05,1.06684e-05,1.09631,0.0547165,4.86321,80.1352,0.1,1,0.1,-23654.966787
82,0.669217,1.04415e-05,1.06684e-05,1.09631,0.0547165,4.86321,80.1352,0.1,1,0.1,-23654.966787
83,0.669217,1.04415e-05,1.06684e-05,1.09631,0.0547165,4.86321,80.1352,0.1,1,0.1,-23654.966787
84,0.672713,1.0542e-05,1.04354e-05,1.08593,0.0534056,4.84988,80.2,0.1,1,0.1,-23591.194686
85,0.669629,1.01905e-05,1.02954e-05,1.08426,0.0518999,4.89071,80.1923,0.1,1,0.1,-23488.164204
86,0.669629,1.01905e-05,1.02954e-05,1.08426,0.0518999,4.89071,80.1923,0.1,1,0.1,-23488.164204
87,0.669629,1.01905e-05,1.02954e-05,1.08426,0.0518999,4.89071,80.1923,0.1,1,0.1,-23488.164204
88,0.673885,1.01841e-05,1.01532e-05,1.11009,0.049297,4.90185,80.6052,0.1,1,0.1,-23351.247760
89,0.6764,1.02692e-05,1.02639e-05,1.131,0.0486505,4.91007,80.3694,0.1,1,0.1,-23315.816316
90,0.660903,1.03611e-05,1.04321e-05,1.15985,0.0491655,4.90587,80.5335,0.1,1,0.1,-23285.002959
91,0.660903,1.03611e-05,1.04321e-05,1.15985,0.0491655,4.90587,80.5335,0.1,1,0.1,-23285.002959
92,0.660903,1.03611e-05,1.04321e-05,1.15985,0.0491655,4.90587,80.5335,0.1,1,0.1,-23285.002959
93,0.660903,1.03611e-05,1.04321e-05,1.15985,0.0491655,4.90587,80.5335,0.1,1,0.1,-23285.002959
94,0.672873,9.87211e-06,1.04432e-05,1.1501,0.0470861,4.92505,80.634,0.1,1,0.1,-23194.941198
95,0.672873,9.87211e-06,1.04432e-05,1.1501,0.0470861,4.92505,80.634,0.1,1,0.1,-23194.941198
96,0.672873,9.87211e-06,1.04432e-05,1.1501,0.0470861,4.92505,80.634,0.1,1,0.1,-23194.941198
97,0.668378,9.95287e-06,1.05066e-05,1.1206,0.0470075,4.91744,80.9596,0.1,1,0.1,-23171.365721
98,0.668937,1.00691e-05,1.07147e-05,1.14006,0.0466513,4.8944,81.1837,0.1,1,0.1,-23161.664035
99,0.66176,1.00328e-05,1.09559e-05,1.12495,0.044028,4.87214,81.1242,0.1,1,0.1,-22958.295777
100,0.66176,1.00328e-05,1.09559e-05,1.12495,0.044028,4.87214,81.1242,0.1,1,0.1,-22958.295777
101,0.66176,1.00328e-05,1.09559e-05,1.12495,0.044028,4.87214,81.1242,0.1,1,0.1,-22958.295777
102,0.66176,1.00328e-05,1.09559e-05,1.12495,0.044028,4.87214,81.1242,0.1,1,0.1,-22958.295777
103,0.66176,1.00328e-05,1.09559e-05,1.12495,0.044028,4.87214,81.1242,0.1,1,0.1,-22958.295777
104,0.66012,9.79587e-06,1.09828e-05,1.1639,0.043242,4.90359,80.8839,0.1,1,0.1,-22899.252740
105,0.66012,9.79587e-06,1.09828e-05,1.1639,0.043242,4.90359,80.8839,0.1,1,0.1,-22899.252740
106,0.66012,9.79587e-06,1.09828e-05,1.1639,0.043242,4.90359,80.8839,0.1,1,0.1,-22899.252740
